id,lang,split,tweet,soft_label,hard_label
100031,es,TRAIN_ES,"this artist is only 20. that is so young to be harassed like this. Aren't they ashamed to talk so badly about someone so young? regardless of what the original convo was about, the anti-blackness of mestizos and whites in the diaspora and in Latin America is disgusting.","{'JUDGEMENTAL': 0.16666666666666602, 'NO': 0.6666666666666661, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0}",NO
100032,es,TRAIN_ES,"@USER @USER @USER @USER Oh, I forgot about the tests, because of not talking about inventions like you. HTTPURL HTTPURL another.","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100033,es,TRAIN_ES,"She harassed the Senator, so go suck. ___htpurl___","{'NO': 0.6666666666666661, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100034,es,TRAIN_ES,"#USA Declassified documents reveal that mysterious drones -in July 2019- ""harassed"" Yankee warships off the coast of California. #FOIA #MysteriousDrones #Harassed #US #Navy #Warships #OffCalifornia ___htpurl___","{'NO': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100035,es,TRAIN_ES,"Devastating, but with constructive criticism: Chris Cuomo Sexually Harassed Me. I Hope He'll Use His Power from him to Make Change. ___htpurl___","{'NO': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100036,es,TRAIN_ES,@USER crazy shit at the moment,"{'DIRECT': 0.833333333333333, 'NO': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",DIRECT
100037,es,TRAIN_ES,"@USER @USER @USER The Sandman boy, from Catholic school who traveled to Washington with a group of classmates and were harassed and attacked by Black Israelites (sect) and a Native American, and that CNN etc. They said that he was the other way around, causing expulsions, death threats, etc. Approx 100 million won","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100038,es,TRAIN_ES,@USER above always to the same poor tisi she's being harassed,"{'REPORTED': 0.33333333333333304, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.33333333333333304, 'NO': 0.16666666666666602}",
100039,es,TRAIN_ES,"@USER that twilight era was very weird, all the actors were getting harassed but with Taylor it's especially wild because he was a minor","{'NO': 0.5, 'JUDGEMENTAL': 0.16666666666666602, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.0}",
100040,es,TRAIN_ES,when they pretended to defend the freedom of expression of academics complaining that somehow trans people were silencing them 💀💀💀💀___htpurl___,"{'NO': 0.6666666666666661, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100041,es,TRAIN_ES,⚖️ They ask for more than three years in prison for the Torrevieja neighbor accused of posting the DNI of the victim of the Pack in a forum #LaManada___htpurl___,"{'NO': 0.833333333333333, 'REPORTED': 0.16666666666666602, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",NO
100042,es,TRAIN_ES,"@USER @USER @USER Well look no, they are men, each one with their family, friends and leading a normal life. Just like those of LaManada, and those who murder their partners on a daily basis. That's why we should ask ourselves what the hell is happening to men for them to act like this, and what kind of society we want.","{'NO': 0.33333333333333304, 'REPORTED': 0.33333333333333304, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0}",
100043,es,TRAIN_ES,Something like this did #LaManada to some girls until they ended up behind bars...#MentirasEstreno,"{'NO': 0.5, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.0}",
100044,es,TRAIN_ES,"@USER #Lamanada (sexual assault in Navarra) do you have a very Spanish ID? There was even an agent (expelled for his crimes) from the civil guard, the chair @USER is the example of the right-cave, ""we"", ""being Spanish"", Marujita Díaz syndrome.","{'NO': 0.16666666666666602, 'REPORTED': 0.5, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0}",REPORTED
100045,es,TRAIN_ES,"Minimum sentence for La Manada, but welcome. And what sanction for Dr. Paul Muñoz whose defense was that ""the girl likes social life""? Why after more than a year has the Lima Bar Association not pronounced? @USER #AMiMeGustaLaVidaSocial #LaManada HTTPURL","{'NO': 0.5, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0}",
100046,es,TRAIN_ES,This Friday the 22nd #DosLinternas @USER#jauria #LaManada @USER @USER#Teatro Complete interview with @USER ___hpurl___,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100047,es,TRAIN_ES,"Case #LaManada: Heredia is the victim's lawyer 📞 ""badly named: it was a group rape and not by animals without reason,"" he says. ""It goes to oral trial... I took the case after people were left out of the process (after that episode of 'sexual venting'),"" says ___htpurl___","{'DIRECT': 0.16666666666666602, 'REPORTED': 0.33333333333333304, 'NO': 0.33333333333333304, 'JUDGEMENTAL': 0.16666666666666602}",
100048,es,TRAIN_ES,"Alejandro Saavedra, rapist part of #laManada in SCZ finally sentenced to 20 years #SeVaACaer","{'NO': 0.33333333333333304, 'REPORTED': 0.6666666666666661, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",REPORTED
100049,es,TRAIN_ES,@USER @USER Politicians used to talk to the people as if they were a herd of stupid but the herd we do nothing to contradict them.,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100050,es,TRAIN_ES,"I share some previous columns that reflect on the topic of #gang rape and the reactions of society and all this. This one from 2018 about the ""#lamanada"" case, with reflections on ""#santateresa's bathroom"" ___htpurl___","{'NO': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100051,es,TRAIN_ES,"They confirm that the mother of the #LaManada rapist, Eliane Saavedra Daza, received money from the municipal government managed by former mayor @USER, ""without working."" #2000ItemsFantasmas #UnMilContratosFantasmas ___htpurl___","{'REPORTED': 0.33333333333333304, 'NO': 0.6666666666666661, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",NO
100052,es,TRAIN_ES,"@USER Who's out of control! Since the herd, it's non-stop violence","{'NO': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100053,es,TRAIN_ES,"""The pack"" 🐼🦁🦊..My babies 🤍#lamanada #dogsofinstagram #doglover #siberianhusky #shetlandsheepdog #husky #sheltie #huskysiberiano #pastordeshetland in Metepec HTTPURL","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100054,es,TRAIN_ES,@USER That's why I loved #LaManada de @USER. I can't stop thinking about that novel.,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100055,es,TRAIN_ES,"My lions fucking balls pussy, 7-3!! 🔥🔥🔥🦁🦁🦁 #Lamanada","{'NO': 0.6666666666666661, 'DIRECT': 0.33333333333333304, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100056,es,TRAIN_ES,"@USER ⭐yeah that was amazing!!! my Pipe, you are a crack!!! We adore you #LaManada 🐺💙⭐","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100057,es,TRAIN_ES,@USER And who investigates the head of the pack? The thin lady ? I leave,"{'NO': 0.5, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0}",
100058,es,TRAIN_ES,"While Scooby enjoys a vacation in Lamanada I take care of Merlot at home, my daughter's russian bleu @USER HTTPURL","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100059,es,TRAIN_ES,"The other victim of '#LaManada': ""If 'El Prenda' really repented, he would have asked me for forgiveness too"" ___htpurl___","{'NO': 0.6666666666666661, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",NO
100060,es,TRAIN_ES,The thing about Lopetegui at a press conference saying I don't know what about the miniskirt and such... It was for those of #LaManada... No?,"{'JUDGEMENTAL': 0.5, 'DIRECT': 0.33333333333333304, 'NO': 0.16666666666666602, 'REPORTED': 0.0}",JUDGEMENTAL
100061,es,TRAIN_ES,"@USER @USER If there were a #metoo of Spanish cinema, it would be for homosubsidies and felamamandurrias.","{'NO': 0.33333333333333304, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.33333333333333304}",
100062,es,TRAIN_ES,"@USER There is another issue in the air, but #MeToo is an interesting example of what you say.","{'NO': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.0, 'REPORTED': 0.0}",NO
100063,es,TRAIN_ES,"Come on, @USER, label MeToo. 😎🍿 ___htpurl___","{'NO': 0.6666666666666661, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.16666666666666602, 'REPORTED': 0.0}",NO
100064,es,TRAIN_ES,"Concern grows over Peng Shuai's whereabouts ""Concern grows over Peng Shuai's whereabouts"" HTTPURL","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100065,es,TRAIN_ES,"@USER I've always thought that scene (the one from the second movie) has been spared from the #MeToo movement until now, there will be when they cancel it","{'DIRECT': 0.33333333333333304, 'REPORTED': 0.33333333333333304, 'NO': 0.16666666666666602, 'JUDGEMENTAL': 0.16666666666666602}",
100066,es,TRAIN_ES,"I think the 4T will go down in history as the government that most rewarded and decorated sexual offenders. WHAT A SHAME! There is Salgado Macedonio, and now Pedro Salmeron, and I don't doubt that there are more 🤬#metoo","{'NO': 0.33333333333333304, 'JUDGEMENTAL': 0.33333333333333304, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.0}",
100067,es,TRAIN_ES,"A Chinese court dismisses the first #Metoo case, threatening to end the fledgling movement in the country ___htpurl___ via @USER By @USER","{'REPORTED': 0.33333333333333304, 'NO': 0.6666666666666661, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",NO
100068,es,TRAIN_ES,"I see a response like ""Not all Americans!"" to the fight against the influx of Americans to PR, as the ""Not all men!"" to MeToo. In both cases, the obvious reply is that it is about structures and dynamics that create inequality, not about whether individuals behave well or badly.","{'NO': 0.33333333333333304, 'REPORTED': 0.33333333333333304, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0}",
100069,es,TRAIN_ES,"@USER If I am in favor, we must create the MeToo movement","{'NO': 0.5, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.0}",
100070,es,TRAIN_ES,"@USER @USER They say that the complaint is real, Cariola said that she was a feminist and from the metoo, and believed the victim, that's how morons. Weones to shit, they give Kast material, with a very serious matter.","{'JUDGEMENTAL': 0.16666666666666602, 'REPORTED': 0.5, 'DIRECT': 0.16666666666666602, 'NO': 0.16666666666666602}",REPORTED
100071,es,TRAIN_ES,"#PorSiNoLoViste #Espectaculos #Acoso #MeToo 🟣The British #topmodel Emily Ratajkowski denounced that she was sexually harassed by singer Robin Thicke, during the filming of the video clip for #BlurredLines#DiariodeMexicoHTTPURL","{'REPORTED': 1.0, 'DIRECT': 0.0, 'NO': 0.0, 'JUDGEMENTAL': 0.0}",REPORTED
100072,es,TRAIN_ES,"The #Canessa affair could be the beginning of a #MeToo movement in Ecuador to denounce sexual harassment at all levels. For example, I don't understand how ""marriages"" between teachers and secondary school students are normalized in our country. For decades there have been cases.","{'REPORTED': 0.33333333333333304, 'NO': 0.16666666666666602, 'JUDGEMENTAL': 0.5, 'DIRECT': 0.0}",JUDGEMENTAL
100073,es,TRAIN_ES,"if Ridley Scott tried to make a new version of Rashomon, he did not achieve the artistic expression necessary to capture the idea, the only thing he achieved is to take #MeToo to the middle ages#TheLastDuel","{'NO': 0.5, 'DIRECT': 0.33333333333333304, 'JUDGEMENTAL': 0.16666666666666602, 'REPORTED': 0.0}",
100074,es,TRAIN_ES,Hey! How is it that @USER is in jail (I'm not saying it's wrong or right) but how is it that @USER's hdlv is still free and still making his fucking withdrawals where he abuses women #MeToo,"{'NO': 0.16666666666666602, 'JUDGEMENTAL': 0.5, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.0}",JUDGEMENTAL
100075,es,TRAIN_ES,"""Perhaps Annette, narration supposedly in the orbit of #MeToo, is in reality, and apart from its cinematographic virtues, something more frivolous""Annette must be seen without a doubt, and then read @USER ___hpurl___","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100076,es,TRAIN_ES,THE #METOO AND THE LITERARY WORLD | Stalkers: the nightmare of the writers. Testimonies of four authors who live hell because of the men who persecute them. By @USER. ___htpurl___,"{'REPORTED': 0.6666666666666661, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.16666666666666602, 'NO': 0.0}",REPORTED
100077,es,TRAIN_ES,"The much-needed #MeToo in the academic world:___htpurl___""I received death threats at 3 in the morning, they tried to throw me out of the university, (...) and when they saw that they couldn't beat us, they went after our children in the schools""#WomenInSTEM HTTPURL","{'JUDGEMENTAL': 0.33333333333333304, 'REPORTED': 0.33333333333333304, 'NO': 0.33333333333333304, 'DIRECT': 0.0}",
100078,es,TRAIN_ES,"It seems that the case of the gay ""attacked by 8 hooded men"" has turned out to be a false complaint. But it's the same. Today, truth, justice and treating people for their actions do not matter, but everything fits into your ""woke"" speech: BLM, #metoo, LGTBIphobia, VIOGEN...","{'NO': 0.5, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.0}",
100079,es,TRAIN_ES,@USER It's going to fall. #LoVamosATirar . Hugs . You are not alone #MeToo,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100080,es,TRAIN_ES,"@USER @USER @USER @USER @USER Hahaha come on since you have to pull the time machine to look for a news story from almost 4 years ago, and that case is from 2015. If you read the news at the end it says that it gained attention due to the MeToo movement.","{'NO': 0.5, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0}",
100081,es,TRAIN_ES,"@USER @USER Incel: person who expresses his inability to achieve sexual relations despite being his desire, characterized by the resentment that is in his publications. The MGTOW is supposed to be a group that follows the idea of ​​separatism between men and women +","{'NO': 0.33333333333333304, 'JUDGEMENTAL': 0.33333333333333304, 'REPORTED': 0.33333333333333304, 'DIRECT': 0.0}",
100082,es,TRAIN_ES,"@USER @USER Those who made real chaos are not those, they were not photographed or detained... Regrettable... Because for the same reason, they can return...","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100083,es,TRAIN_ES,@USER @USER @USER Literally all of Aitana's discography is what you say doesn't exist.,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100084,es,TRAIN_ES,@USER I don't believe in hell/paradise... For me he died unpunished for Argentina's cowardice.,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100085,es,TRAIN_ES,"@USER Yes, when I had my masculinity phase, these arguments were heard all the time. I understand if you are skeptical of MGTOW, but is just dissenting from feminism misogynistic?","{'NO': 0.5, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.33333333333333304, 'JUDGEMENTAL': 0.0}",
100086,es,TRAIN_ES,"@USER It's much worse, vegans reject animal products out of morality, for not harming beings they consider to be protected. MGTOWs reject women out of resentment, hatred, and paranoia.","{'JUDGEMENTAL': 0.16666666666666602, 'NO': 0.33333333333333304, 'REPORTED': 0.5, 'DIRECT': 0.0}",REPORTED
100087,es,TRAIN_ES,"@USER @USER @USER @USER @USER @USER @USER @USER @USER It's called ""niche marketing.""","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100088,es,TRAIN_ES,"@USER @USER @USER @USER @USER @USER @USER The MGTOW, Francoist manual puteros. All cut to the same pattern.","{'NO': 0.6666666666666661, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.0}",NO
100089,es,TRAIN_ES,@USER I don't know what happened to this woman? Is she confused or was she paid in envelope?,"{'DIRECT': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'NO': 0.0, 'REPORTED': 0.0}",DIRECT
100090,es,TRAIN_ES,"@USER @USER It's called criteria, it's when you stop thinking binary, and start to see the nuances.","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100091,es,TRAIN_ES,"@USER Milei can also be consumed by a Tincho redpill, which would not be a tank of milk, on the contrary, they do very well. On the other hand, Moreno seems more for an MGTOW audience","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100092,es,TRAIN_ES,"@USER I would say that more than touching sensitive points there are certain problems in the community and several individuals that make all mgtow look bad, although it is also the fault of those who are ignorant of the subject and think that anyone with a newly created account saying that they are mgtow is .","{'DIRECT': 0.16666666666666602, 'NO': 0.6666666666666661, 'JUDGEMENTAL': 0.16666666666666602, 'REPORTED': 0.0}",NO
100093,es,TRAIN_ES,@USER @USER That old woman who doesn't even know 1 we...,"{'DIRECT': 0.6666666666666661, 'NO': 0.33333333333333304, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",DIRECT
100094,es,TRAIN_ES,"@USER @USER D) Pseudo transgressors who are complicit by starvation or have shitty ideologies who prefer to be showmen in the status quo (Laje, Milei, who are Argentina's answer to Paul Joseph Watson, Ben Shapiro and Milo Yiannopoulos) or basically the MGTOW. (3/4)","{'DIRECT': 0.16666666666666602, 'NO': 0.33333333333333304, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.33333333333333304}",
100095,es,TRAIN_ES,"I didn't know that within the MGTOW there were also people just as dragged as the allies asking for forgiveness at every step. If so, in the end, everything will be the same.","{'NO': 0.5, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.16666666666666602, 'REPORTED': 0.16666666666666602}",
100096,es,TRAIN_ES,"@USER Mgtow And so it will be for a few years, I have not found another alternative.","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100097,es,TRAIN_ES,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER The only one who would be sorry to see me cry is my dad, no other person of any sex would.","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100098,es,TRAIN_ES,"@USER @USER I have been told that this gueveta de Sepulveda is arrogant, leantaoraja","{'NO': 0.6666666666666661, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.16666666666666602, 'JUDGEMENTAL': 0.0}",NO
